RecordID,fm_id
998409340101488,2071
9983677380101488,2072
9983680640101488,2073
9983684110101488,2074
9984692670101488,2075
9984806480101488,2076
9984809220101488,2077
9984813000101488,2078
9984817940101488,2079
9984825290101488,2080
9984831760101488,2081
9984875010101488,2082
9984879010101488,2083
9984882080101488,2084
9984889740101488,2085
9984909340101488,2086
9984913130101488,2087
9984915010101488,2088
9984952000101488,2089
9985204270101488,2090
9985275330101488,2091
9985276830101488,2092
9985449980101488,2093
9985450340101488,2094
9988171070101488,2095
9988171170101488,2096
9989636720101488,2097
9989672710101488,2098
9990180740101488,2099
9991877070101488,2100
9992066370101488,2101
9992070040101488,2102
9992075290101488,2103
9992112188001488,2104
9992119909401488,2105
9992133084901488,2106
9992133091401488,2107
9992133203501488,2108
9992133262401488,2109
9992133547201488,2110
9992133557801488,2111
9992133560601488,2112
9992134347801488,2113
9992134599601488,2114
9992134603301488,2115
9992134606101488,2116
9992134681701488,2117
9992134685601488,2118
9992134688101488,2119
9992135447901488,2120
9992135452901488,2121
9992135904101488,2122
9992135943601488,2123
9992136072701488,2124
9992136076601488,2125
9992136082201488,2126
9992136083201488,2127
9992136085301488,2128
9992136093101488,2129
9992136094301488,2130
9992136098101488,2131
9992136105801488,2132
9992136545901488,2133
9992136798801488,2134
9992136989801488,2135
9992136995601488,2136
9992137179101488,2137
9992137274701488,2138
9992137290401488,2139
9992137296201488,2140
9992137304801488,2141
9992137341201488,2142
9992138591301488,2143
9992139602401488,2144
9992139683501488,2145
9992139685401488,2146
9992139924001488,2147
9992140105701488,2148
9992140106801488,2149
9992140134901488,2150
9992140181501488,2151
9992140182701488,2152
9992140188701488,2153
9992140195101488,2154
9992140338901488,2155
9992140339801488,2156
9992140340101488,2157
9992140348301488,2158
9992140588701488,2159
9992140593401488,2160
9992146148901488,2161
9992146151501488,2162
9992146292801488,2163
9992146296101488,2164
9992146318201488,2165
9992146321001488,2166
9992146323901488,2167
9992146339701488,2168
9992146342401488,2169
9992146344901488,2170
998161350101488,2171
998296080101488,2172
9911058340101488,2173
9914031280101488,2174
9915089830101488,2175
9922121260101488,2176
9922947680101488,2177
9927563330101488,2178
9932447570101488,2179
9937199870101488,2180
9977253760101488,2181
9977254090101488,2182
9977262400101488,2183
9977262940101488,2184
9977263370101488,2185
9977263640101488,2186
9977265180101488,2187
9977265700101488,2188
9977266570101488,2189
9977279820101488,2190
9977279980101488,2191
9977310530101488,2192
9977312870101488,2193
9977313230101488,2194
9977344860101488,2195
9977348420101488,2196
9977372040101488,2197
9977373610101488,2198
9977426430101488,2199
9977440210101488,2200
9977449110101488,2201
9977468650101488,2202
9977481560101488,2203
9977521810101488,2204
9977549140101488,2205
9977590330101488,2206
9977608360101488,2207
9977620970101488,2208
9977638180101488,2209
9977654930101488,2210
9977672720101488,2211
9977675380101488,2212
9977686300101488,2213
9977720580101488,2214
9977731120101488,2215
9977739730101488,2216
9977764740101488,2217
9977783060101488,2218
9977786480101488,2219
9977803120101488,2220
9978955270101488,2221
9978968940101488,2222
9978981200101488,2223
9978990300101488,2224
9979601780101488,2225
9979740960101488,2226
9979742740101488,2227
9979901050101488,2228
9979911060101488,2229
9979915920101488,2230
9979944780101488,2231
9979964850101488,2232
9979967470101488,2233
9979976860101488,2234
9979977170101488,2235
9979977270101488,2236
9979988900101488,2237
9980006270101488,2238
9980044110101488,2239
9980058550101488,2240
9980080650101488,2241
9980108010101488,2242
9980131450101488,2243
9980135760101488,2244
9980147460101488,2245
9980151480101488,2246
9980167940101488,2247
9980179140101488,2248
9980180330101488,2249
9980184590101488,2250
9980204150101488,2251
9980205280101488,2252
9980783110101488,2253
9981080110101488,2254
9981133530101488,2255
9983088940101488,2256
9983089150101488,2257
9983091750101488,2258
9983125730101488,2259
9983127850101488,2260
9983137190101488,2261
9983141220101488,2262
9983142560101488,2263
9983524100101488,2264
9983528950101488,2265
9983532560101488,2266
9983686250101488,2267
9983694770101488,2268
9983697900101488,2269
9983730050101488,2270
9992137275801488,2271
9992137277301488,2272
9992137297401488,2273
9992137306701488,2274
9992138104001488,2275
9992138481501488,2276
9992138492101488,2277
9992138495301488,2278
9992138497301488,2279
9992138587401488,2280
9992138587901488,2281
9992138589201488,2282
9992139603401488,2283
9992139606101488,2284
9992139690401488,2285
9992140603301488,2286
9992141305401488,2287
9992141306501488,2288
9992146146201488,2289
9992146194901488,2290
9992146198201488,2291
9992146295001488,2292
9992146339101488,2293
9992146706401488,2294
9992146848801488,2295
9992146857301488,2296
9992146860001488,2297
9992146985601488,2298
9992146988901488,2299
9992147495401488,2300
9992147782501488,2301
9992148064401488,2302
9992148090201488,2303
9992148095901488,2304
9992148600301488,2305
9992148605801488,2306
9992148802601488,2307
9992149102601488,2308
9992149105901488,2309
9992149165001488,2310
9992149168001488,2311
9992149485801488,2312
9992149490701488,2313
9992149495501488,2314
9992150599201488,2315
9992150601501488,2316
9992150904801488,2317
9992150960001488,2318
9992150970801488,2319
9992151397201488,2320
9992151405501488,2321
9992151606301488,2322
9992204604701488,2323
9992206993601488,2324
9992207401401488,2325
9992219790001488,2326
9992220680601488,2327
9992221202401488,2328
9992221650701488,2329
9992224302001488,2330
9992225262401488,2331
9992225265001488,2332
9992225292301488,2333
9992225666501488,2334
9992225787101488,2335
9992225794601488,2336
9992227193601488,2337
9992228007701488,2338
9992228103501488,2339
9992228433301488,2340
9992229610001488,2341
9992238865401488,2342
9992238965901488,2343
9992238992201488,2344
9992239494301488,2345
9992239531301488,2346
9992239580201488,2347
9992241006701488,2348
9992241391701488,2349
9992241898401488,2350
9992242003001488,2351
9992246345201488,2352
9992246804101488,2353
9992246897201488,2354
9992247586101488,2355
9992249564201488,2356
9992251605601488,2357
9992253682801488,2358
9992254699401488,2359
9992257388201488,2360
9992259064001488,2361
9992259094501488,2362
9992259486801488,2363
9992259488401488,2364
9992259680001488,2365
9992259682901488,2366
9992259740301488,2367
9992259742801488,2368
9992260073401488,2369
9992260297901488,2370
998150740101488,2371
998151430101488,2372
9918340830101488,2373
9922526250101488,2374
9922906810101488,2375
9932490870101488,2376
9974819880101488,2377
9979902360101488,2378
9979974500101488,2379
9979975230101488,2380
9979979380101488,2381
9979980370101488,2382
9979991410101488,2383
9979994270101488,2384
9979996150101488,2385
9980008520101488,2386
9980010920101488,2387
9980013690101488,2388
9980015510101488,2389
9980025940101488,2390
9980047390101488,2391
9980062350101488,2392
9980073640101488,2393
9980078320101488,2394
9980112510101488,2395
9980116750101488,2396
9980119940101488,2397
9980130210101488,2398
9980133620101488,2399
9982425400101488,2400
9982428510101488,2401
9982442420101488,2402
9982443260101488,2403
9982444200101488,2404
9982444800101488,2405
9982445190101488,2406
9982446350101488,2407
9982447290101488,2408
9982448600101488,2409
9982450100101488,2410
9982451950101488,2411
9982453500101488,2412
9982454010101488,2413
9982460260101488,2414
9982461000101488,2415
9982462360101488,2416
9982465140101488,2417
9982466190101488,2418
9982467090101488,2419
9982468040101488,2420
9982481200101488,2421
9982483310101488,2422
9982485500101488,2423
9982488970101488,2424
9983530360101488,2425
9988018010101488,2426
9991877810101488,2427
9992136783701488,2428
9992136788601488,2429
9992136793201488,2430
9992139606701488,2431
9992140333701488,2432
9992149101701488,2433
9992149178901488,2434
9992149181501488,2435
9992149184401488,2436
9992149185101488,2437
9992149185601488,2438
9992149186001488,2439
9992195577201488,2440
9992196166601488,2441
9992196173301488,2442
9992196247601488,2443
9992196258101488,2444
9992196273001488,2445
9992198301301488,2446
9992198353501488,2447
9992198378801488,2448
9992198692501488,2449
9992198705001488,2450
9992199287501488,2451
9992199300001488,2452
9992199376001488,2453
9992199378401488,2454
9992199492601488,2455
9992199509901488,2456
9992199801401488,2457
9992199802601488,2458
9992204399801488,2459
9992206995201488,2460
9992207004501488,2461
9992207005101488,2462
9992207564801488,2463
9992219566501488,2464
9992274990501488,2465
9992275076501488,2466
9992276575601488,2467
9992276579101488,2468
9992276681901488,2469
9992276739201488,2470
9977348230101488,2471
9977402560101488,2472
9977403690101488,2473
9977413430101488,2474
9977438160101488,2475
9977438360101488,2476
9977504050101488,2477
9977567710101488,2478
9977689530101488,2479
9977710810101488,2480
9978977230101488,2481
9980094080101488,2482
9981118750101488,2483
9992255099201488,2484
9992260279201488,2485
9992260790201488,2486
9992260794101488,2487
9992260798501488,2488
9992260801001488,2489
9992260904601488,2490
9992260909301488,2491
9992265092101488,2492
9992265095501488,2493
9992265202401488,2494
9992270688501488,2495
9992271601801488,2496
9992271603901488,2497
9992271890801488,2498
9992271895301488,2499
9992272707601488,2500
9992272987701488,2501
9992272991501488,2502
9992272998501488,2503
9992273290201488,2504
9992274354001488,2505
9992274362101488,2506
9992274371401488,2507
9992274373801488,2508
9992274409201488,2509
9992274445301488,2510
9992274448601488,2511
9992274455601488,2512
9992275208101488,2513
9992276573901488,2514
9992276576501488,2515
9992276677401488,2516
9992276679901488,2517
9992276735001488,2518
9992276749601488,2519
9992282003601488,2520
9992337086601488,2521
9992345588901488,2522
9992390707301488,2523
9992408054301488,2524
9992423306701488,2525
9992467506901488,2526
9992475809401488,2527
9992549499201488,2528
9992549879801488,2529
9992549884401488,2530
9992549892801488,2531
9992550090001488,2532
9992551509201488,2533
9992552106201488,2534
9992552206501488,2535
9992553310301488,2536
9992560289301488,2537
9992560779401488,2538
9992560883901488,2539
9992565509601488,2540
9992573109501488,2541
9992685306901488,2542
9992686809401488,2543
9992687696801488,2544
9992688209301488,2545
9992688508901488,2546
9992196008901488,2547
9992196026501488,2548
9992196052801488,2549
9992197660301488,2550
9992197676501488,2551
9992197679901488,2552
9992198362701488,2553
9992199501501488,2554
9992199879701488,2555
9992199886201488,2556
9992220529701488,2557
9992220586401488,2558
9992221122401488,2559
9992221144401488,2560
9992221146401488,2561
9992221207001488,2562
9992221654601488,2563
9992221691801488,2564
9992221700601488,2565
9992221702601488,2566
9992221747001488,2567
9992221802901488,2568
9992221809801488,2569
9992222391301488,2570
9992223573501488,2571
9992223582801488,2572
9992223592201488,2573
9992223598301488,2574
9992224291601488,2575
9992225573501488,2576
9992225788701488,2577
9992227501701488,2578
9992228088701488,2579
9992228090401488,2580
9992228435401488,2581
9992228440101488,2582
9992228503301488,2583
9992228573401488,2584
9992228576901488,2585
9992229308001488,2586
9992229309201488,2587
9992229609401488,2588
9992238364601488,2589
9992238550601488,2590
9992238872201488,2591
9992238994801488,2592
9992239103601488,2593
9992239410501488,2594
9992239418601488,2595
9992239484301488,2596
9992241172901488,2597
9992241185901488,2598
9992241201701488,2599
9992241248401488,2600
9992243101701488,2601
9992246369501488,2602
9992248697801488,2603
9992249305001488,2604
9992249505501488,2605
9992249573501488,2606
9992249588801488,2607
9992249767001488,2608
9992249770101488,2609
9992249994601488,2610
9992250087401488,2611
9992250096001488,2612
9992251204101488,2613
9992251595401488,2614
9992251672801488,2615
9992251687801488,2616
9992252579401488,2617
9992252883301488,2618
9992253783001488,2619
9992255197101488,2620
9992256102601488,2621
9992256589701488,2622
9992256608701488,2623
9992256704701488,2624
9992257274001488,2625
9992257382701488,2626
9992258093501488,2627
9992258097401488,2628
9992258099101488,2629
9992258465901488,2630
9992258476501488,2631
9992258483101488,2632
9992258683201488,2633
9992258806901488,2634
9992258981901488,2635
9992258984001488,2636
9992258985601488,2637
9992258987101488,2638
9992259055901488,2639
9992259306201488,2640
9992259659001488,2641
9992259739501488,2642
9992259762901488,2643
9992260067701488,2644
9992260288901488,2645
9992260295001488,2646
