264_a	n	modern_name	fm_place_id	geonames_id	wikidata_id	notes
Flexiæ	1	La Flêche			Q343	
Francfordii	1	Frankfurt am Main	3255			Check
Franckfurth und Leipzig	1					2 places
Francof.	1	Frankfurt am Main	3255			Check
Francof. ac Hamburgi	1					2 places
Francofurti Cis Viadrum	1	Frankfurt an der Oder			Q4024	Could be 3256 in FM
Francofurti ad Mœnum	1	Frankfurt am Main	3255			
Francofurti cis Viadrum	1	Frankfurt an der Oder			Q4024	Could be 3256 in FM
Francofvrti ad Moenvm	1	Frankfurt am Main	3255			
Francofvrti ad Mœnum	1	Frankfurt am Main	3255			
Francofvrti ad Mœnvm	1	Frankfurt am Main	3255			
Franekeræ	1	Franeker	206			
Franeqveræ	1	Franeker	206			From CERL
Frankfurt am Main	1	Frankfurt am Main	3255			
Fribvrgi Aventicorvm	1	Freiburg, Schweiz			Q36378	From CERL
Fribvrgi Brisgoiae	1	Freiburg im Breisgau			Q2833	From CERL
Gandæ	1	Gent	225			
Gedruckt ... zur Neustadt	1					Check, too many options
Gedruckt in der kayserlichen Statt Augspurg	1	Augsburg	1137			
Gedruckt zu Eisleben	1	Lutherstadt Eisleben			Q484870	
Gedruckt zu Franckfurt am Mayn	1	Frankfurt am Main	3255			
Gedruckt zu Meyntz	1	Mainz	5409			
Gedruckt zu Prag	1	Prague			Q1085	
Gedruckt zu Wittemberg	1	Wittenberg	8910			
Gedruckt zü Tübingen	1	Tübingen			Q3806	
Gedruct Tantwerpẽ	1	Antwerp	26			
Gedrukt tot Mechelen	1	Mechelen	409			
Gembloux	1	Gembloux	3385			
Geprint inde princelijcke stadt van Bruessele	1	Brussels	116			
Geprint te Loeuen	1	Leuven	2			
Gerundæ	1	Girona			Q7038	
Getruckt zu Augspurg	1	Augsburg	1137			
Getruckt zu Franckfort am Mayn	1	Frankfurt am Main	3255			
Getruckt zu Ingolstat	1	Ingolstadt	4584			
Getruckt zu Ingolstatt	1	Ingolstadt	4584			
Getrückt und vollendet inn der Kayserlichen Statt Augspurg	1	Augsburg	1137			
Ghedruckt tot Delff	1	Delft	154			
Ghedruckt tot Loven	1	Leuven	2			
Ghedruckt, tot Duysseldorp	1	Düsseldorf	2793			
Ghedruct in die vermaerde uniuersiteyt ende stadt van Louen	1	Leuven	2			Check - separate for University?
Ghedruct in die vermaerde uniuersiteyt ende stadt vã Loeuen	1	Leuven	2			Check - separate for University?
Ghedruct in die vermaerde universiteyt ende stadt van Loeuen	1	Leuven	2			Check - separate for University?
Ghedruct inde uniuersiteyt van Louen	1	Leuven	2			Check - separate for University?
Ghedruct tot Louen	1	Leuven	2			
Ghedruct tot Louẽ	1	Loué			Q35719815	Check - from CERL
Gheprent Tantwerpen	1	Antwerp	26			
Gheprent tot Louen	1	Leuven	2			
Gheprent tot antwerpen	1	Antwerp	26			
Gheprint T Antwerpẽ	1	Antwerp	26			
Gheprint Thantwerpen	1	Antwerp	26			
Gheprint Thantwerpen ... in Amsterdam	1	Amsterdam	17			
Gheprint Thantwerpẽ	1	Antwerp	26			
Gheprint t'Hantwerpen	1	Antwerp	26			
Gheprint tot Louen	1	Leuven	2			
Glasgow	1	Glasgow	3518			
Gottingæ	1	Gottingen			Q3033	
Grünwald	1	Grünwald			Q220090	Check, multiple in CERL
Hagae Comitis	1	Den Haag	155			
Haganoae	1	Hagenau			Q1568462	Check, a few in Wikidata 
Hagenoæ	1	Hagenau			Q1568462	Check, a few in Wikidata 
Hagæ-Comitis	1	Den Haag	155			
Hal	1					Check
Halle	1	Halle	252			
Harderovici Gelrorum	1	Harderwijk	3914			
Hardervici	1	Harderwijk	3914			
Harlemi	1	Haarlem	250			
Heidelberg	1	Heidelberg	4074			
HelmaestadI	1	Helmstedt		2906676	Q486562	
Helmaestadi	1	Helmstedt		2906676	Q486562	
Helmaestadii	1	Helmstedt		2906676	Q486562	
HelmestadI	1	Helmstedt		2906676	Q486562	
HelsmtadI	1	Helmstedt		2906676	Q486562	
Henricopoli	1	Wolfenbüttel	8925			From CERL
Hermopoli	1	Hermopolis			Q732908	Check
Hersfeld	1	Bad Hersfeld			Q16145	Check
Ienae	1	Jena			Q3150	
Impositus est ... in celebri vniuersitate Louaniensi ...	1	Leuven	2			
Impressa autem sunt hæc & recognita Rursum Parrhisis	1					Paris? Check.
Impressi in vrbe Argentina	1					Strasbourg? Check
Impressu[m] Parisius	1	Paris	495			
Impressum Antuerpiæ	1	Antwerp	26			
Impressum Antverpie	1	Antwerp	26			
Impressum Forosempronii	1					Place in Antiquity? Check
Impressum Oppenheym	1	Oppenheim			Q518690	
Impressum est autem Lugduni	1	Leiden	5004			
Impressvm Coloniae Agrippinae	1	Köln		2886242	Q365	Surprised it's not in the DB already, should check
Impressvm Vitebergae	1					
Impressvm Vittembergæ	1					
Impressæ Lipsiæ	1					
Imprimé nouuellement à Paris	1	Paris	495			
Imprinted at Antwerpe	1	Antwerp	26			
Imprinted at London ...	1	London	5264			
In 's Graven-hage	1	s-Gravenhage	744			
In 'sGraven-Hage	1	s-Gravenhage	744			
In Anuersa	1					Can't find
In Assisi	1	Assisi			Q20103	
In Fiorenza	1	Florence	3184			
In Venezia :	1	Venice	8273			
In alma Taurinensi ciuitate	1					Can't find
In inclyta Basilea	1	Basel	1297			
In nobili Spira	1	Speyer			Q6829	
Insulis Flandrorum	1	Friesland	3282			From CERL
Ipris Flandrorvm	1	Ypres		2795101	Q102728	
Iste libellus impressus est Leydis	1	Leiden	5004			
Iuxta copiam Thesium Lovanii	1	Leuven	2			
Iuxta copiam thesium Lovanii	1	Leuven	2			
Iuxta exemplar Gandavense. Lovanii	1	Leuven	2			Check
Jenæ	1	Jena			Q3150	
Juxta copiam Leodii	1	Liege	392			
Juxta exemplar impressum Romæ	1	Rome	740			
Juxta exemplaria impressa Lovanii	1	Leuven	2			
Juxtà copiam, Coloniæ Agrippinæ	1	Köln		2886242	Q365	Surprised it's not in the DB already, should check
Kopenhagen	1	Kopenhagen	4807			
Lanaken	1	Lanaken	4904			
Landishuti	1	Landshut			Q3974	
Leiptzigk	1	Leipzig		2879139	Q2079	
Leoardiae	1					Can't find
Leodii,  et veneunt, Bruxellis	1					2 places
Lille	1	Lille	375			
Lincii	1	Lintz	5185			
Lincij	1	Lintz	5185			
Lindau	1	Lindau	5159			
Lisboa Occidental	1	Lisbon			Q597	
Lovain	1	Leuven	2			
Lovani	1	Leuven	2			
Lovanii ... juxta exemplar impressum Parisiis	1					2 places
Lovanii et Bruxellis	1					2 places
Lovanii, venduntur Bruxellis	1					2 places
LovenI	1	Leuven	2			
Lovvain	1	Leuven	2			
Lugd.	1	Leiden	5004			
Lugd. Batav.	1	Leiden	5004			
Lugduni :	1	Leiden	5004			
Lugduni Batavorum & Amstelodami	1					2 places
Lugduni in Batavis	1	Leiden	5004			
Lutetię Parisiorum	1	Paris	495			
Lvcebvrgi	1					Luxembourg? Check
Lvdgvni	1	Leiden	5004			
Lvgd. Batavor.	1	Leiden	5004			
Lvgd: Batavor.	1	Leiden	5004			
Lvgdni	1	Leiden	5004			
Lvgdvni :	1	Leiden	5004			
Lvgdvni excvd.	1	Leiden	5004			
Lvgvdvni	1	Leiden	5004			
Lvtetiae Parisior	1	Paris	495			
Lvtetiae Parisiorum	1	Paris	495			
Lvtetiæ Parisiorvm	1	Paris	495			
Maastricht	1	Maastricht	397			
Marburgi Cattorum	1	Marburg	5470			
Marpvrgi	1	Marburg	5470			
Massiliæ	1					Can't find
Matriti	1	Madrid	5392			
Mechliniae	1	Mechelen	409			
Men vind-ze te koop, t' Antwerpen	1	Antwerp	26			
Men vindt se te koop tot Loven	1	Leuven	2			
Menston	1	Menston			Q602055	
Met vintse te koop t' Antwerpen	1	Antwerp	26			
Mogvuntiae	1	Mainz	5409			
MonasterI Westphaliæ	1	Münster	6007			
Montibvs Hannoniæ	1	Bergen	61			
Na de copye gedruckt tot Dusseldorp	1	Düsseldorf	2793			
Namvrci	1	Namur			Q134121	
Naples	1	Naples	6043			
New Brunswick	1	New Brunswick			Q138338	
Nieuwkoop	1	Nieuwkoop			Q33467336	
Nissæ	1	Nysa			Q815721	Could also be Nis in Croatia, check.
Norembergæ	1	Nurnberg		6556832	Q2090	
Noviomagi Batavorum	1	Nijmegen	456			From CERL
Offenbaci Ysenburgicorum	1	Offenback			Q3042	Check, couldn't find Ysenburgicorum
On les vend à Lyon	1	Lyon	5364			
Osnabrvgae	1	Osnabrück	6475			
Osterod.	1	Osterode			Q3042	
Parrhisijs	1	Paris	495			
Parrisijs	1	Paris	495			
Patavii	1					CERL has this as a variant for both Padova and Passau. Check. 
Pictavii	1	Poitiers	6723			
Pompelone	1					Probably Pamplona, check
Pragae	1	Prague			Q1085	
Printed at Lovain	1					
Prostant Leodij	1	Liege	392			
Prostant paruo Louanii	1	Leuven	2			
Prostat Frãcof.	1					Not sure
Prostat Lovanii	1	Leuven	2			
Prostat: Bruxellis	1	Brussels	116			
Regiomonti & Lipsiæ	1					2 places
Ristampate in Colonia	1	Köln		2886242	Q365	Check, could be others 
Ristampate in Liege	1	Liege	392			
Roma	1	Rome	740			
Rostochii	1	Rostock	7135			
Salingiaci	1	Solingen			Q2942	
Salmanticae	1	Salamanca			Q15695	
Sed prostant Venetiis	1	Venice	8273			
Straßburg	1	Strasbourg		2826178	Q6602	
Styrae	1	Steyr				Could be 7794 or 7795 in FM
Suivant la copie de Londres. A Amsterdam	1					2 places
Suivant la copie imprimée a Paris	1	Paris	495			
Sur la copie imprimée a Paris	1	Paris	495			
T Antvverpen	1	Antwerp	26			
T' Antwerpen	1	Antwerp	26			
T' Hantwerpen	1	Antwerp	26			
T'hantvverpen	1	Antwerp	26			
Taurini	1	Turin		3165525	Q495	
Te 's Bosch	1	's-Hertogenbosch		2747351	Q2766547	Q2766547
Te Amsteldam	1	Amsterdam	17			
Te Dordrecht	1	Dordrecht	2713			
Te Dordregt	1	Dordrecht	2713			
Te Gend	1	Gent	225			
Te Gouda	1	Gouda	3621			
Te Leyden	1	Leiden	5004			
Te Louen	1	Leuven	2			
Te Utrecht	1	Utrecht	635			
Thantvverpen	1	Antwerp	26			
Tornaci Nerviorvm	1	Tournai			Q173219	
Tot Bonn	1	Bonn	1762			
Tot Bruessel	1	Brussels	116			
Tot Ceulen	1	Köln		2886242	Q365	Surprised it's not in the DB already, should check
Tot Delf	1	Delft	154			
Tot Gendt	1	Gent	225			
Tot Haerlem	1	Haarlem	250			
Tot Hoorn	1	Hoorn	296			
Tot Maastricht	1	Maastricht	397			
Tot Maestricht	1	Maastricht	397			
Tot Oiktopolis	1					Can't find
Tot Roomen	1	Rome	740			Variant from CERL
Tot naemloos	1					Can't find
Traiecti	1	Utrecht	635			
Trier	1	Trier	8080			
Trippoli	1				Q3579	Check. Tripoli also listed as fictitious name for Ulm in CERL
Tvrnoni	1	Tournon-sur-Rhône			Q213155	
Ultrajecti	1	Utrecht	635			
Utrecht	1	Utrecht	635			
VVirceburgi	1					Can't find
Vaenundantur Lovanij	1	Leuven	2			
Valencia	1	Valencia	8175			Should check
Valentiae Edetanorum	1	Valencia	8175			Should check
Valladolid	1	Valladolid	8185			
Venduntur Bruxellis	1	Brussels	116			
Veneunt Antuerpię ...	1	Antwerp	26			
Veneunt Lovanii	1	Leuven	2			
Veneũt Lugd.	1	Leiden	5004			
Venundantur Louanii	1	Leuven	2			
Venundantur Louanij	1	Leuven	2			
Venundantur Lovanii	1	Leuven	2			
Venundantur Lovanij	1	Leuven	2			
Venundatur vbi impressa est Parisiis	1	Paris	495			
Venundãtur Louanii	1	Leuven	2			
Vesaliæ Clivorum	1	Wesel	8795			Variant from CERL
Vicetiæ	1	Vicenza			Q6537	Variant from CERL
Vienne	1					Check. Could be Vienna, Austria, or France (Vienne, Vianen)
Viennæ	1					Check. Could be Vienna, Austria, or France (Vienne, Vianen)
Viennæ Avstriæ	1	Vienna	8347			Check, not sure if this is Vienna or Vienne
Vincentiæ	1	Vicenza			Q6537	Variant from CERL
Vindobonæ	1	Vienna	8347			Check, not sure if this fm_id is for Vienna Austria or another Vienne
Vitebergæ	1	Wittenberg	8910			
Vitembergae	1	Wittenberg	8910			
Vittembergae	1	Wittenberg	8910			
Vrbini	1	Urbino			Q2759	
Vuittenbergæ	1	Wittenberg	8910			
Vænit Lutetiæ	1	Paris	495			
Vænundantur Lovani	1	Leuven	2			
Vænũdant. Louanij	1	Leuven	2			
Vęnendantur Louanij	1	Leuven	2			
Vęnundantur Louanij	1	Leuven	2			
W Berdyczowie	1	Berditschew			Q158799	Variant from CERL
Wevelgem	1	Wevelgem	8825			
Wien	1	Vienna	8347			Check, not sure if this fm_id is for Vienna Austria or another Vienne
Wildert	1					Check, there's one in Belgium and Netherlands
Wirceburgi	1	Würzburg	8972			
Wircebvrgi	1	Würzburg	8972			
Wittebergæ	1	Wittenberg	8910			
Wittenberg	1	Wittenberg	8910			
Wittenbergæ	1	Wittenberg	8910			
Wovrdæ	1					Can't find
Wratislaviae	1	Wroclaw	8961			
Wurceburgi	1	Würzburg	8972			
Ypris Flandrorvm	1	Ypres		2795101	Q102728	
Zů Strasszburg	1	Strasbourg		2826178	Q6602	
[1516]	1					
[Antwerpen?]	1	Antwerp	26			
[Bazel]	1	Basel	1297			
[Brussel?]	1	Brussels	116			
[Eisleben]	1	Lutherstadt Eisleben			Q484870	
[Franckfurt am Mayn]	1	Frankfurt am Main	3255			
[Genevae]	1	Geneva	3400			
[Graz?]	1	Graz			Q13298	
[Haarlem]	1	Haarlem	250			
[Ingolstadt]	1	Ingolstadt	4584			
[Jena]	1	Jena			Q3150	
[Köl,]	1					Koln maybe?
[København]	1	Kopenhagen	4807			
[Leiden?]	1	Leiden	5004			
[Liège]	1	Liege	392			
[London]	1	London	5264			
[Louvain]	1	Leuven	2			
[Lovanii]	1	Leuven	2			
[Lugduni Batavorum]	1	Leiden	5004			
[Lyon]:	1	Lyon	5364			
[Milano]	1	Milan	5775			
[Nürnberg]	1	Nurnberg		6556832	Q2090	
[Oxford]	1	Oxford	6572			
[Roma]	1	Rome	740			
[Schlettstadt]	1	Sélestat	Q22737			
[Speyer]	1	Speyer			Q6829	
[Trnava]	1	Trnava			Q26175	
[Utrecht]	1	Utrecht	635			
[Valencia]	1	Valencia	8175			Should check
[Zürich]	1	Zürich	9072			
[[place of publication not identified]]	1	unknown				
[lieu de publication inconnu] :	1	unknown				
[lieu de publication inconnu].	1	unknown				
[place of distribution not identified]	1	unknown				
apud Ioannem Kinckivm	1					Not a place?
ende ment vintse te coop tot Amsterdam	1	Amsterdam	17			
prostant Bruxellis	1	Brussels	116			
t'  Antwerpen	1	Antwerp	26			
t' Antvverpen	1	Antwerp	26			
t'Amsteldam	1	Amsterdam	17			
t'Antvverpen	1	Antwerp	26			
t'Hantvverpen	1	Antwerp	26			
t'Hantwerpen	1	Antwerp	26			
tot 's Bosch	1	's-Hertogenbosch		2747351	Q2766547	Q2766547
à Bruges	1	Bruges	114			