value,n,fm_place_id,wikidata_id
Leuven,519,2,
Antwerpen,289,26,
Paris,182,495,
Köln,133,737,
Basel,110,1297,
Lyon,95,5364,
Brussel / Bruxelles,81,116,
Leiden,55,5004,
Venezia,46,8273,
Amsterdam,45,17,
Liège,43,392,
Frankfurt am Main,24,3255,
Strasbourg,20,,
Roma,15,740,
Gent,14,225,
Douai,11,2729,
Augsburg,10,1137,
Genève,9,3400,
Leipzig,9,,Q2079
Mainz,9,5409,
Ingolstadt,8,4584,
London,8,5264,
Rouen,8,7150,
Wittenberg,8,8910,
Marburg,7,5470,
Delft,6,154,
Napoli,6,6043,
Hanau,5,,Q3802
Utrecht,5,635,
Arnhem,4,28,
Brugge,4,114,
Frankfurt,4,?,
Lille,4,375,
Mechelen,4,409,
Milano,4,5775,
München,4,6003,
Nürnberg,4,,Q2090
's-Gravenhage,3,744,
Avignon,3,,Q6397
Brescia,3,,Q6221
Caen,3,2100,
Dordrecht,3,2713,
Erfurt,3,2979,
Firenze,3,3184,
Ieper,3,,
Luxembourg,3,5355,
Oxford,3,6572,
Wien,3,,Q1741
s.l.,3,,
's-Hertogenbosch,2,546,
Ath,2,1111,
Cosmopolis,2,,
Düsseldorf,2,2793,
Franeker,2,206,
Haguenau,2,,Q22730
Hamburg,2,3844,
Heidelberg,2,4074,
Helmstedt,2,,
Jena,2,,Q3150
Linz,2,5185,
Nijmegen,2,456,
Parma,2,,Q2683
Schlettstadt,2,,Q22737
Trevoux,2,,Q244565
Trier,2,8080,
Ulm,2,8146,
Valencia,2,8175?,
Zürich,2,9072,
Amberg,1,,Q7042
Arras,1,1070,
Assisi,1,,Q20103
Bonn,1,1762,
Braunschweig,1,743,
Bâle,1,1237,
Camerino,1,2122?,
Châlons-en-Champagne,1,,Q47135
Darmstadt,1,,Q2973
Eisleben,1,,Q484870
Freiburg im Breisgau,1,3269?,
Gdańsk,1,3337,
Giessen,1,3475,
Girona,1,,Q7038
Graz,1,3684?,
Haarlem,1,250,
Halle,1,252,
Hasselt,1,260,
Herborn,1,,Q18998
Kampen,1,4719,
Konstanz,1,4804,
Köln,1,,
Limoges,1,,Q45656
Lisboa,1,,Q597
Maastricht,1,397,
Madrid,1,5392,
Marseille,1,5530,
Milan,1,5775,
Mons,1,,
Münster,1,6007,
Namur,1,,Q134121
Neiße,1,,
Neustadt,1,,
Neuß,1,6129,
New York,1,,Q60
Nürenberg,1,,Q2090
Offenbach,1,,Q3042
Oiktopolis,1,,
Osnabrück,1,6475,
Padova,1,,Q617
Pamplona,1,6591,
Poitiers,1,6723,
Praha,1,6777?,
Saint Vincent (mystification),1,,
Solingen,1,,Q2942
Speyer,1,,Q6829
Steyr,1,,Q260320
Toledo,1,8006,
Torino,1,,Q495
Tours,1,,
Urbino,1,8047,
Verona,1,8311?,
Vicenza,1,,Q6537
Wesel,1,8795,
Wolfenbüttel,1,8925,
Zaragoza,1,9004,